UserEmail,AccessGroup
user1@corp.com,Executive
user2@enterprise.io,Operations
user3@corp.com,HR
user3@corp.com,Support
user3@corp.com,Sales
user3@corp.com,Marketing
user4@corp.com,Marketing
user5@datahub.org,Executive
user6@datahub.org,HR
user6@datahub.org,Executive
user6@datahub.org,Marketing
user7@datahub.org,IT
user7@datahub.org,Operations
user7@datahub.org,Executive
user8@corp.com,Marketing
user8@corp.com,Operations
user8@corp.com,Finance
user9@corp.com,Executive
user9@corp.com,Marketing
user9@corp.com,Operations
user10@corp.com,IT
user10@corp.com,Operations
user10@corp.com,HR
user10@corp.com,Support
user11@corp.com,Sales
user11@corp.com,HR
user12@datahub.org,Operations
user12@datahub.org,Support
user12@datahub.org,HR
user13@datahub.org,Support
user13@datahub.org,IT
user13@datahub.org,Finance
user13@datahub.org,Executive
user14@datahub.org,Executive
user14@datahub.org,Support
user15@datahub.org,Finance
user15@datahub.org,Operations
user15@datahub.org,HR
user16@datahub.org,Sales
user16@datahub.org,Support
user16@datahub.org,Marketing
user17@datahub.org,Support
user17@datahub.org,Operations
user18@enterprise.io,Sales
user18@enterprise.io,Marketing
user18@enterprise.io,IT
user18@enterprise.io,Finance
user19@corp.com,HR
user19@corp.com,IT
user19@corp.com,Executive
user19@corp.com,Marketing
user20@datahub.org,Support
user20@datahub.org,Operations
user21@datahub.org,Support
user21@datahub.org,Executive
user21@datahub.org,Finance
user21@datahub.org,Marketing
user22@datahub.org,Operations
user22@datahub.org,Marketing
user23@enterprise.io,Support
user23@enterprise.io,Finance
user23@enterprise.io,Sales
user23@enterprise.io,IT
user24@enterprise.io,Sales
user25@datahub.org,Finance
user25@datahub.org,Support
user26@datahub.org,Finance
user26@datahub.org,Support
user26@datahub.org,Operations
user26@datahub.org,HR
user27@datahub.org,Operations
user27@datahub.org,Sales
user27@datahub.org,IT
user28@enterprise.io,Executive
user28@enterprise.io,Operations
user29@datahub.org,Executive
user29@datahub.org,Sales
user30@datahub.org,Finance
user30@datahub.org,HR
user30@datahub.org,Operations
user31@enterprise.io,Sales
user31@enterprise.io,HR
user31@enterprise.io,Finance
user31@enterprise.io,Operations
user32@datahub.org,HR
user33@enterprise.io,Operations
user33@enterprise.io,Marketing
user33@enterprise.io,Sales
user34@enterprise.io,Finance
user35@corp.com,Operations
user36@corp.com,Support
user36@corp.com,IT
user37@corp.com,IT
user37@corp.com,Support
user37@corp.com,Executive
user37@corp.com,Finance
user38@corp.com,IT
user39@enterprise.io,Marketing
user39@enterprise.io,IT
user39@enterprise.io,Sales
user40@datahub.org,IT
user40@datahub.org,Executive
user41@corp.com,Executive
user41@corp.com,Marketing
user42@enterprise.io,Support
user42@enterprise.io,Operations
user42@enterprise.io,HR
user42@enterprise.io,Sales
user43@corp.com,IT
user43@corp.com,Sales
user43@corp.com,HR
user43@corp.com,Support
user44@corp.com,Marketing
user45@enterprise.io,Marketing
user45@enterprise.io,Operations
user45@enterprise.io,HR
user46@datahub.org,Marketing
user46@datahub.org,Finance
user47@datahub.org,Support
user47@datahub.org,Executive
user48@enterprise.io,IT
user49@datahub.org,IT
user49@datahub.org,Finance
user49@datahub.org,Sales
user49@datahub.org,HR
user50@corp.com,Executive
user50@corp.com,IT
